394.33682,2315
394.35385,2273
394.37091,2332
394.38794,2271
394.40497,2307
394.422,2266
394.43903,2292
394.45605,2352
394.47311,2262
394.49014,2270
394.50717,2260
394.5242,2232
394.54123,2283
394.55826,2323
394.57529,2312
394.59232,2361
394.60934,2251
394.62637,2259
394.64343,2326
394.66046,2339
394.67749,2278
394.69452,2239
394.71155,2227
394.72858,2216
394.74561,2452
394.76263,2303
394.77966,2347
394.79666,2316
394.81369,2278
394.83072,2250
394.84775,2239
394.86478,2336
394.88181,2280
394.89883,2234
394.91586,2287
394.93289,2229
394.94992,2333
394.96692,2255
394.98395,2286
395.00098,2257
395.01801,2280
395.03503,2346
395.05206,2270
395.06906,2313
395.08609,2196
395.10312,2314
395.12015,2260
395.13715,2279
395.15417,2316
395.1712,2257
395.18823,2332
395.20523,2277
395.22226,2297
395.23929,2288
395.25629,2301
395.27332,2252
395.29034,2244
395.30734,2247
395.32437,2289
395.3414,2283
395.3584,2345
395.37543,2330
395.39246,2254
395.40945,2353
395.42648,2327
395.44348,2322
395.46051,2582
395.47751,2652
395.49454,3314
395.51154,2863
395.52856,2545
395.54556,2320
395.56259,2272
395.57959,2349
395.59662,2268
395.61362,2359
395.63065,2391
395.64764,2297
395.66467,2236
395.68167,2228
395.6987,2362
395.7157,2305
395.7327,2457
395.74973,2592
395.76672,3007
395.78375,2452
395.80075,2377
395.81775,2298
395.83478,2311
395.85178,2218
395.86877,2224
395.88577,2273
395.9028,2232
395.9198,2309
395.9368,2268
395.95383,2292
395.97083,2239
395.98782,2245
396.00482,2319
396.02185,2346
396.03885,2276
396.05585,2308
396.07285,2264
396.08984,2256
396.10684,2267
396.12387,2239
396.14087,2223
396.15787,2306
396.17487,2286
396.19186,2318
396.20886,2224
396.22586,2278
396.24286,2237
396.25989,2373
396.27689,2244
396.29388,2250
396.31088,2278
396.32788,2435
396.34488,2304
396.36188,2248
396.37888,2370
396.39587,2304
396.41287,2299
396.42987,2188
396.44687,2220
396.46387,2198
396.48087,2207
396.49783,2227
396.51483,2370
396.53183,2356
396.54883,2475
396.56583,2364
396.58282,2274
396.59982,2285
396.61682,2342
396.63382,2239
396.65079,2230
396.66779,2263
396.68478,2236
396.70178,2379
396.71878,2299
396.73575,2324
396.75275,2349
396.76974,2226
396.78674,2278
396.80371,2295
396.82071,2230
396.83771,2222
396.85471,2229
396.87167,2331
396.88867,2216
396.90567,2299
396.92264,2247
396.93964,2210
396.95663,2312
396.9736,2289
396.9906,2390
397.0076,2298
397.02457,2322
397.04156,2245
397.05853,2235
397.07553,2290
397.0925,2294
397.1095,2271
397.1265,2258
397.14346,2220
397.16046,2218
397.17743,2229
397.19443,2372
397.2114,2268
397.22839,2219
397.24536,2216
397.26236,2218
397.27933,2281
397.2963,2219
397.31329,2295
397.33026,2259
397.34726,2222
397.36423,2221
397.3812,2229
397.39819,2185
397.41516,2263
397.43216,2274
397.44913,2343
397.46609,2506
397.48309,2816
397.50006,2356
397.51703,2242
397.534,2258
397.55099,2217
397.56796,2385
397.58493,2337
